Category,Country/ States/ Union Territories Name,Decadal growth rate - Total - 2001-11
Country,INDIA,17.7
State,Andhra Pradesh,11
State,Arunachal Pradesh,26
State,Assam,17.1
State,Bihar,25.4
State,Chhattisgarh,22.6
State,Goa,8.2
State,Gujarat,19.3
State,Haryana,19.9
State,Himachal Pradesh,12.9
State,Jammu & Kashmir,23.6
State,Jharkhand,22.4
State,Karnataka,15.6
State,Kerala,4.9
State,Madhya Pradesh,20.3
State,Maharashtra,16
State,Manipur,24.5
State,Meghalaya,27.9
State,Mizoram,23.5
State,Nagaland,-0.6
State,Odisha,14
State,Punjab,13.9
State,Rajasthan,21.3
State,Sikkim,12.9
State,Tamil Nadu,15.6
State,Tripura,14.8
State,Uttar Pradesh,20.2
State,Uttarakhand,18.8
State,West Bengal,13.8
Union Territory,A & N Islands,6.9
Union Territory,Chandigarh,17.2
Union Territory,D & N Haveli,55.9
Union Territory,Daman & Diu,53.8
Union Territory,Lakshadweep,6.3
Union Territory,NCT of Delhi,21.2
Union Territory,Puducherry,28.1
